id,type,category,course_name,course_name_es,level,language,format,venue,day,time_24h,time_display,alt_day,alt_time_24h,frequency,sessions,period,teacher,capacity,coursebook,notes,notes_es
C011,Regular course,Humanities and Personal Development,Neurolinguistic Programming (NLP),Programación Neurolingüística (PNL),No prior experience required,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,15:00,3:00 p.m.,,,Weekly,,4 months,Pablo (Pol) Mazza,,,2-hour classes including a 15-minute break,"Clases de 2 horas, con un break de 15 minutos."
C012,Regular course,Humanities and Personal Development,Travelling with History - online series,Taller Viajando con Historia: ciclo online,,,Online,Online,Thursday,18:30,6:30 p.m.,,,Weekly,8,August - October,Inés Achával Becú,,,"Two strands: ""A Paradise in the Jungle: the Jesuits of Paraguay"" (8 classes, linked to a July 2027 trip) and ""Dangerous Liaisons? Great Britain and Argentina"" (number of classes missing in source)","Dos ciclos: “Un paraíso en la selva: los jesuitas del Paraguay” (8 clases, ligado a un viaje en julio de 2027) y “¿Relaciones peligrosas?: Gran Bretaña y Argentina” (cantidad de clases a confirmar)."
C013,Regular course,Humanities and Personal Development,"Travelling with History - ""Men and Women Who Forged the Nation""",Taller Viajando con Historia: “Hombres y mujeres que forjaron la Patria”,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,18:00,6:00 p.m.,,,Monthly (fixed dates),9,March - November,Inés Achával Becú,,,"Dates: 10 Mar, 14 Apr, 12 May, 16 Jun, 28 Jul, 6 Oct, 20 Oct, 10 Nov, 24 Nov","Fechas: 10 mar, 14 abr, 12 may, 16 jun, 28 jul, 6 oct, 20 oct, 10 nov y 24 nov."
C014,Regular course,Technology,Mobile Phone - Tablet - Computer (Beginner),"Celular, Tablet y Computadora (Nivel Inicial)",Beginner,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,14:30,2:30 p.m.,,,Weekly,6 units,Full year (2 Mar - 30 Nov 2026),Alejandra Pedano,,,"Devices, file management, online communication, internet safety + AI, apps and privacy, maintenance. Closing integrative project","Dispositivos, gestión de archivos, comunicación on line, navegación segura e introducción a la IA, aplicaciones y privacidad, mantenimiento. Cierra con un trabajo integrador."
C015,Regular course,Technology,Mobile Phone - Tablet - Computer (Advanced),"Celular, Tablet y Computadora (Nivel Avanzado)",Advanced,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,14:30,2:30 p.m.,,,Weekly,6 units,Full year (2 Mar - 30 Nov 2026),Alejandra Pedano,,,"Adds buying advice, scheduled online meetings, word processors/presentations/spreadsheets. Closing integrative project","Suma criterios de compra, reuniones on line programadas, procesadores de texto, presentaciones y cálculos. Cierra con un trabajo integrador."
C016,Regular course,Technology,IT - Thematic Level: Artificial Intelligence,"Informática, Nivel Temático: Inteligencia Artificial",,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,14:30,2:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carolina Pérez,,,"Basic AI concepts and everyday applications in health, communication, entertainment","Conceptos básicos de IA y aplicaciones cotidianas en salud, comunicación y entretenimiento."
C017,Regular course,Physical Activities,Golf,Golf,,,In person,Driving Villa Allende,Monday,16:00,4:00 p.m.,Tuesday,09:00,Weekly,,Full year (2 Mar - 30 Nov 2026),Héctor Castillo,,,Agreement with the Golf Federation of the Province of Córdoba. Clubs loaned to new students,Convenio con la Federación de Golf de la Provincia de Córdoba. Se prestan los palos hasta que decidas si el golf es para vos.
C018,Regular course,Games and Play,Bridge I,Bridge I,Level 1,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Adela Rodríguez Tagle,,,,
C019,Regular course,Games and Play,Bridge II,Bridge II,Level 2,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,17:30,5:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Adela Rodríguez Tagle,,,,
C020,Regular course,Languages,English - Beginner,Inglés Nivel Inicial,Beginner,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,10:00,10:00 a.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carina López,,,From scratch; no previous knowledge required,Desde cero. No hace falta conocimiento previo.
C021,Regular course,Languages,English - Beginner 2,Inglés Nivel Inicial 2,Beginner 2,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,10:00,10:00 a.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carina López,,,,
C022,Regular course,Languages,English - Pre-Intermediate,Inglés Pre Intermedio,Pre-Intermediate,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,14:45,2:45 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Gabriela Novillo,,,,
C023,Regular course,Languages,English - Pre-Intermediate II,Inglés Pre Intermedio II,Pre-Intermediate 2,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,17:00,5:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Gabriela Novillo,,,,
C024,Regular course,Languages,English - Intermediate,Inglés Intermedio,Intermediate,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,10:00,10:00 a.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carina López,,,Second half of each class is conversation only,La segunda parte de cada clase es sólo conversación.
C025,Regular course,Languages,English - Advanced,Inglés Avanzado,Advanced,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,15:30,3:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Gabriela Novillo,,,,
C026,Regular course,Languages,"English Conversation - ""English without limits""","Inglés Conversación: “Inglés sin límites: conversa, aprende y disfruta”",Advanced,English,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,14:30,2:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),María Marta Bancalari,,,,
C027,Regular course,Languages,English Online - Beginner,"Inglés Online, Nivel Inicial",A1 (CEFR),English,Online,Google Meet,Tuesday,18:30,6:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),María Eugenia Borgogno,,,Aligned to CEFR A1. Group WhatsApp chat for the class link and support,Alineado al nivel A1 del Marco Común Europeo. Grupo de WhatsApp para el enlace de clase y las consultas.
C028,Regular course,Languages,Discovering French (Beginner),Descubriendo el Francés (Nivel Inicial),Beginner,French,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,14:00,2:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Elizabeth Rufail,,,Project: a cultural outing in French,Proyecto: una salida cultural en francés.
C029,Regular course,Languages,French - Intermediate/Advanced (Je parle donc je communique),Francés Nivel Intermedio y Avanzado: “Je parle donc je communique”,Intermediate/Advanced,French,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,16:00,4:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Elizabeth Rufail,,,"Requires existing grammar, vocabulary and some verb tenses","Requiere manejo previo de estructuras gramaticales, vocabulario y algunos tiempos verbales."
C030,Regular course,Languages,Italian I - Introduction to the Italian language,Italiano I: “Introducción a la lengua italiana”,A1,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,DAI! 1 (part 1),,
C031,Regular course,Languages,Italian II - Focused on dialogue: conversation and writing,Italiano II: “Enfocados en el diálogo: conversación y escritura en italiano”,Level 2,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,17:00,5:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,DAI! 1 (part 2),,
C032,Regular course,Languages,Italian III - Conversation with touches of cinema and writing,Italiano III: “Enfocados en el diálogo: conversación con toques de cine y escritos italianos”,Level 3,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,17:30,5:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,DAI 2! (part 1),,
C033,Regular course,Languages,Italian IV - Discovering the Masters: grammar and cinema,"Italiano IV: “Descubriendo maestros”, gramática y cine italianos",Intermediate,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,17:00,5:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,DAI 2! (part 2),,
C034,Regular course,Languages,Italian V - Advanced course,Italiano V: Curso Avanzado,Advanced,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,15:30,3:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,DAI 3! + Colori di Italia (part 1),,
C035,Regular course,Languages,Italian VI - Italian literature through the centuries,Italiano VI Avanzado: “La literatura italiana a través de los siglos”,Advanced,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,Colori di Italia (part 2); I Promessi Sposi (Manzoni),,
C036,Regular course,Languages,Italian VII - Advanced level,Italiano VII: Curso de Nivel Superior,C1-C2,Italian,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,10:30,10:30 a.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Carla Palmaghini,,Authentic C1/C2 material,Includes a research project,Incluye un proyecto de investigación.
C037,Regular course,Languages,Italian - Elementary (online),Italiano Nivel Elemental (online),Elementary,Italian,Online,Online,Tuesday,18:30,6:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Gabriela Rodríguez Junco,,,Heritage language plus practical preparation for travel to Italy,La lengua de nuestros ancestros y una herramienta práctica para viajar a Italia.
C038,Regular course,Languages,Italian Conversation,Italiano Conversación,Advanced,Italian,Online,Online,Thursday,16:00,4:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Giuliano Malinverno,,,Organised around cultural themes sustained across the year,Organizado alrededor de temas culturales que se sostienen durante el año.
C039,Short workshop,New workshop (Aug 2026),"Hamnet, or how to name an absence","Hamnet, o cómo nombrar una ausencia",,,In person,UBP + Bodegón Silvestre,,,,,,Fixed dates,3,Date to be confirmed,Luciano Camio / María Josefina Arévalo,,,Novel and film adaptation in dialogue. Third session is a dinner-debate. Enrolment 351 3 261002,La novela y su versión cinematográfica en diálogo. El tercer encuentro es una cena debate. Inscripciones 351 3 261002.
C040,Short workshop,New workshop (Aug 2026),Reading Workshop - 4444: Quiroga and Schweblin,"Taller de Lectura, 4444: Quiroga y Schweblin",,,In person,UBP Campus,Friday,17:00,5:00 p.m.,,,Fixed dates,4,"18 and 25 Sep, 2 and 9 Oct 2026",Luciano Camio,,,"4 texts by Schweblin, 4 by Quiroga, 4 adaptations. Enrolment 351 3 261002","4 textos de Schweblin, 4 de Quiroga y 4 adaptaciones. Inscripciones 351 3 261002."
C041,Short workshop,New workshop (Aug 2026),Words in Strands - letters and teas,Palabras en hebras: letras y tés,,,In person,Bodegón Silvestre,Saturday,15:30,3:30 p.m.,,,One-off,1,24 October 2026,Luciano Camio,,,"Literature and tea tasting, includes afternoon tea. Enrolment 351 3 261002","Literatura y cata de tés, con merienda incluida. Inscripciones 351 3 261002."
C042,Short workshop,New workshop (Aug 2026),Intensive (Brazilian) Portuguese Workshop for Travellers,Taller Intensivo de Portugués (brasilero) para Viajeros,Beginner,Portuguese,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,15:00,3:00-5:00 p.m.,,,Weekly,10,August - September 2026,Dolores Carreras,,,For Spanish speakers with no or beginner-level Portuguese. Enrolment 351 3 261002,Para hispanohablantes sin conocimientos previos o con nivel inicial. Inscripciones 351 3 261002.
C043,Short workshop,New workshop (Aug 2026),"Ancestral Weave - Threading memory (loom, tapestry, crochet, basketry)","Trama Ancestral: hilvanar la memoria (telar, tapiz, crochet y canastería)",,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,15:00,3:00 p.m.,,,Weekly,,August - November 2026,Romina Induni,,,Enrolment 351 3 261002,Inscripciones 351 3 261002.
C044,Short workshop,New workshop (Aug 2026),Vida AMAble - tools for living well,Vida AMAble: herramientas para un buen vivir,,,Online,Online,Monday,18:00,6:00 p.m.,,,Weekly,8,August - November 2026,Constanza Spillmann,,,"8 themes: identity, memory, habits, beliefs, transformation, inner voice, re-evaluation, integration. Enrolment 351 3 261002","Ocho ejes: identidad, memoria, hábitos, creencias, transformar, voz interior, revalorizar e integrar. Inscripciones 351 3 261002."
C045,Short workshop,New workshop (Aug 2026),Estancia La Granadilla - Book Tasting III (Beneath the Skin of Words),"Estancia La Granadilla, Cata de Libros III: “Bajo la piel de las palabras”",,,In person,Estancia La Granadilla,Saturday-Sunday,,,,,Residential weekend,1,12-13 September 2026,Élida Trossero,,,"Carver, Murakami, Garland. Enrolment 351 3 261002","Carver, Murakami y Garland. Inscripciones 351 3 261002."
C046,Short workshop,New workshop (Aug 2026),Neurolinguistic Programming (new intake),Programación Neurolingüística (nueva cohorte),,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,15:00,3:00-5:00 p.m.,,,Weekly,,August - November 2026 (4 months),Pablo (Pol) Mazza,,,Second intake of the NLP course; 2-hour classes with a 15-minute break. Enrolment 351 3 261002,Segunda cohorte del curso de PNL. Clases de 2 horas con un break de 15 minutos. Inscripciones 351 3 261002.
C047,Short workshop,New workshop (Aug 2026),"Japanese Culture - Japan among us, the ties that bind","Cultura Japonesa: “Japón entre nosotros, lazos que unen”",,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,,,,,One-off,1,24 September 2026,María Andrea Pérez / Florencia Bonelli,,,140 years of Japanese immigration to Argentina. Literary talk plus practical origami workshop,140 años de la inmigración japonesa en Argentina. Charla literaria y taller práctico de origami.
