id,category,question_es,answer_es,question_en,answer_en,keywords,escalate,source
F019,Clases,¿Qué pasa si el taller no llega al mínimo?,"Si no se reúnen diez inscriptos, la apertura queda sujeta a la decisión del docente y de la coordinación. Te avisamos antes de que empiece y te ofrecemos alternativas.",What if the workshop does not reach the minimum?,"If ten students do not enrol, opening is subject to the decision of the teacher and coordination. We let you know before it starts and offer you alternatives.",minimo no abre cancelado suspendido cancel minimum,no,Programa 2026
F020,Clases,¿Hay grupo de WhatsApp?,"Sí, varios talleres arman un grupo de WhatsApp para estar en contacto con la docente durante la semana, recibir material y sacarse dudas sin esperar a la clase siguiente.",Is there a WhatsApp group?,"Yes, several workshops set up a WhatsApp group to stay in touch with the teacher during the week, receive material and ask questions without waiting for the next class.",whatsapp grupo contacto docente material,no,Programa 2026
F021,Certificado,¿Dan certificado?,"Sí. Al terminar el curso completo recibís un certificado emitido por la Universidad Blas Pascal que acredita tu paso por aulauniversitaria. El único requisito es asistir con regularidad, al 80 por ciento de las clases.",Do I get a certificate?,"Yes. On completing the full course you receive a certificate issued by Universidad Blas Pascal accrediting your participation in aulauniversitaria. The only requirement is regular attendance, 80 per cent of classes.",certificado diploma titulo acreditacion certificate 80,no,Programa 2026
F022,Certificado,¿Es una carrera universitaria?,"No. Son talleres del programa de extensión de la Universidad Blas Pascal. No otorgan un título de grado, sino un certificado de participación.",Is this a university degree?,"No. These are workshops on the Universidad Blas Pascal extension programme. They do not award a degree, they award a certificate of participation.",carrera universitaria titulo grado degree,no,Programa 2026
F023,Baja,¿Cómo dejo un taller?,"Avisá con anticipación a la coordinación, por WhatsApp, por mail o en persona. No hay contrato ni permanencia mínima.",How do I leave a workshop?,"Let coordination know in advance, by WhatsApp, email or in person. There is no contract and no minimum term.",baja dejar abandonar cancelar dar de baja leave quit,yes,Programa 2026
F024,Oferta,¿Qué talleres hay?,"Hay 47 propuestas en 2026, repartidas en seis áreas: arte y creatividad, humanidades y desarrollo personal, tecnología, actividades corporales, actividades lúdicas e idiomas. Podés verlas todas con día, hora y profesor en el buscador de esta página.",What workshops are there?,"There are 47 offerings in 2026 across six areas: art and creativity, humanities and personal development, technology, physical activities, games, and languages. You can see them all with day, time and teacher in the finder on this page.",que talleres cursos oferta lista catalogo what courses list,no,Programa 2026
F025,Oferta,¿Qué idiomas puedo estudiar?,"Inglés, desde nivel inicial hasta avanzado y conversación. Francés inicial e intermedio. Italiano de los niveles I al VII, más un nivel elemental y conversación. Y un taller intensivo de portugués brasilero para viajeros.",What languages can I study?,"English, from beginner to advanced and conversation. French beginner and intermediate. Italian from levels I to VII, plus an elementary level and conversation. And an intensive Brazilian Portuguese workshop for travellers.",idiomas ingles frances italiano portugues languages english,no,Programa 2026
F026,Oferta,¿Hay cursos de computación o de inteligencia artificial?,"Sí. Hay Celular, Tablet y Computadora en nivel inicial y avanzado, y un taller de Inteligencia Artificial pensado para la vida cotidiana: salud, comunicación y entretenimiento.",Are there computer or artificial intelligence courses?,"Yes. There is Mobile, Tablet and Computer at beginner and advanced level, and an Artificial Intelligence workshop aimed at everyday life: health, communication and entertainment.",computacion informatica celular computadora inteligencia artificial ia tecnologia computer ai,no,Programa 2026
F027,Oferta,¿Hay actividades físicas o deportes?,"Hay golf, en el Driving Villa Allende, con un convenio con la Federación de Golf de la Provincia de Córdoba. Se prestan los palos hasta que decidas si el golf es lo tuyo.",Are there physical activities or sports?,"There is golf, at Driving Villa Allende, under an agreement with the Golf Federation of the Province of Córdoba. Clubs are loaned until you decide whether golf is for you.",deporte fisica golf gimnasia cuerpo sport physical,no,Programa 2026
F028,Oferta,¿Hay talleres nuevos este año?,"Sí, nueve talleres nuevos desde agosto de 2026: Hamnet, el taller de lectura 4444 sobre Quiroga y Schweblin, Palabras en hebras, portugués para viajeros, Trama Ancestral de tejidos, Vida AMAble, la cata de libros en la Estancia La Granadilla, una nueva cohorte de PNL y un taller de cultura japonesa.",Are there new workshops this year?,"Yes, nine new workshops from August 2026: Hamnet, the 4444 reading workshop on Quiroga and Schweblin, Words in Strands, Portuguese for travellers, Ancestral Weave, Vida AMAble, the book tasting at Estancia La Granadilla, a new NLP cohort and a Japanese culture workshop.",nuevos talleres agosto novedades new workshops,no,Programa 2026
F029,Oferta,¿Necesito saber usar la computadora para los talleres virtuales?,"Ayuda, pero no hace falta ser experto. Las clases virtuales usan Zoom o Google Meet y se manda el enlace por WhatsApp. Si te cuesta, tenemos talleres de Celular, Tablet y Computadora desde nivel inicial, y la docente te acompaña.",Do I need computer skills for the online workshops?,"It helps, but you do not need to be an expert. Online classes use Zoom or Google Meet and the link is sent by WhatsApp. If you find it difficult, we run Mobile, Tablet and Computer workshops from beginner level, and the teacher supports you.",computadora saber usar tecnologia dificil zoom meet enlace computer skills,no,Programa 2026
F030,Institucional,¿Quién organiza aulauniversitaria?,Es un programa autosustentable de la Asociación Civil Promover junto con la Secretaría de Extensión y Relaciones Internacionales de la Universidad Blas Pascal.,Who runs aulauniversitaria?,It is a self-sustaining programme of Asociación Civil Promover together with the Extension and International Relations Office of Universidad Blas Pascal.,quien organiza promover ubp universidad who runs,no,Programa 2026
F031,Institucional,¿Qué es la Asociación Civil Promover?,"Es una organización sin fines de lucro fundada en junio de 2000, con personería jurídica otorgada por Resolución 031/A/01. Trabaja en la zona de Argüello, al noroeste de Córdoba, promoviendo el desarrollo de las potencialidades humanas y la mejora de la calidad de vida.",What is Asociación Civil Promover?,"A non-profit founded in June 2000, with legal status granted under Resolution 031/A/01. It works in the Argüello area, north-west of Córdoba, promoting the development of human potential and improving quality of life.",promover asociacion civil ong quienes somos about,no,Programa 2026
F032,Institucional,¿Cuál es el objetivo del programa?,"Promover el crecimiento activo dando la oportunidad de aprender a lo largo de toda la vida, estar en mejores condiciones para afrontar las dificultades cotidianas con independencia y autonomía, y favorecer la participación y la toma de decisiones de las personas mayores.",What is the aim of the programme?,"To promote active growth by providing the opportunity to learn throughout life, to be better equipped to face everyday difficulties with independence and autonomy, and to encourage participation and decision-making by older adults.",objetivo mision proposito para que aim purpose,no,Programa 2026
F033,Institucional,"¿Cómo se dan las clases, con qué metodología?","Los métodos son activos y participativos, abiertos y flexibles, y se adaptan al grupo. Se trabaja con aprendizaje placentero, descubrimiento guiado, ejemplos e intercambio de experiencias. Los principios son la cooperación, el respeto y la tolerancia.",How are classes taught?,"Methods are active and participatory, open and flexible, and adapt to the group. They use enjoyable learning, guided discovery, worked examples and the exchange of experiences. The governing principles are cooperation, respect and tolerance.",metodologia como enseñan clases metodo methodology,no,Programa 2026
F034,Contacto,¿Cómo los contacto?,"Por WhatsApp o teléfono al 351 3 261002, o al 3543 536010. Por mail a info@promover.org.ar o a aulauniversitaria@ubp.edu.ar. También estamos en Instagram como @aulauniversitaria2020 y en Facebook como aulauniversitaria.",How do I contact you?,"By WhatsApp or phone on 351 3 261002, or 3543 536010. By email at info@promover.org.ar or aulauniversitaria@ubp.edu.ar. We are also on Instagram as @aulauniversitaria2020 and on Facebook as aulauniversitaria.",contacto telefono whatsapp mail correo instagram facebook contact phone,yes,Programa 2026
F035,Contacto,¿Puedo hablar con una persona?,"Sí, siempre. Llamá al 351 3 261002 y te atiende alguien de la coordinación. Este asistente es automático y está para orientarte, pero cualquier cosa importante la resuelve una persona.",Can I speak to a person?,"Yes, always. Call 351 3 261002 and someone from coordination will answer. This assistant is automated and is here to guide you, but anything important is handled by a person.",persona humano hablar alguien atencion person human speak,yes,Programa 2026
